zipcode,city,county,population
90011,Los Angeles,Los Angeles County,111165
91331,Pacoima,Los Angeles County,105458
90650,Norwalk,Los Angeles County,105304
90201,Bell,Los Angeles County,101965
90044,Los Angeles,Los Angeles County,99443
92335,Fontana,San Bernardino County,99306
92336,Fontana,San Bernardino County,98346
94565,Pittsburg,Contra Costa County,97671
90250,Hawthorne,Los Angeles County,97072
90805,Long Beach,Los Angeles County,95995
92503,Riverside,Riverside County,95551
90280,South Gate,Los Angeles County,94642
91342,Sylmar,Los Angeles County,94595
91710,Chino,San Bernardino County,91773
92683,Westminster,Orange County,91105
92804,Anaheim,Orange County,89915
92154,San Diego,San Diego County,88979
92704,Santa Ana,Orange County,88321
95076,Watsonville,Santa Cruz County,86905
93307,Bakersfield,Kern County,86832
92376,Rialto,San Bernardino County,86085
91744,La Puente,Los Angeles County,85421
92592,Temecula,Riverside County,84930
94112,San Francisco,San Francisco County,84707
93033,Oxnard,Ventura County,84701
93722,Fresno,Fresno County,84621
93727,Fresno,Fresno County,84449
91911,Chula Vista,San Diego County,84026
92126,San Diego,San Diego County,82658
92345,Hesperia,San Bernardino County,82110
91335,Reseda,Los Angeles County,81824
92509,Riverside,Riverside County,81383
91709,Chino Hills,San Bernardino County,80701
94544,Hayward,Alameda County,79747
95035,Milpitas,Santa Clara County,79655
95823,Sacramento,Sacramento County,79440
95630,Folsom,Sacramento County,78159
93550,Palmdale,Los Angeles County,77506
90706,Bellflower,Los Angeles County,77195
91706,Baldwin Park,Los Angeles County,76930
93257,Porterville,Tulare County,76519
92553,Moreno Valley,Riverside County,76102
94533,Fairfield,Solano County,75909
90255,Huntington Park,Los Angeles County,75019
91910,Chula Vista,San Diego County,74855
94536,Fremont,Alameda County,74837
94587,Union City,Alameda County,74722
92805,Anaheim,Orange County,74478
93535,Lancaster,Los Angeles County,74264
93274,Tulare,Tulare County,74000
90003,Los Angeles,Los Angeles County,73730
92105,San Diego,San Diego County,73623
92882,Corona,Riverside County,73250
91730,Rancho Cucamonga,San Bernardino County,72407
