latitude,longitude,state,zipcode
40.6963,-75.2051,Pennsylvania,10800
36.8728,-119.762,California,90307
35.2865,-82.4149,North Carolina,20807
36.9583,-122.027,California,90500
37.9954,-122.121,California,90405
27.9845,-82.463,Florida,30306
61.2151,-149.891,Alaska,90905
35.6743,-81.2287,North Carolina,20806
43.0905,-89.4845,Wisconsin,50305
38.3031,-104.598,Colorado,80100
34.151,-118.089,California,90101
43.9799,-124.091,Oregon,90704
40.5666,-122.331,California,90600
32.2725,-80.9174,South Carolina,20909
38.0438,-78.4572,Virginia,20209
40.5903,-122.346,California,90600
30.1152,-85.5977,Florida,30204
43.0159,-88.1166,Wisconsin,50301
32.2158,-80.7452,South Carolina,20909
28.4503,-81.468,Florida,30208
31.8814,-102.322,Texas,70907
43.4407,-76.545,New York,0
46.7122,-92.1018,Wisconsin,50408
32.3375,-90.1043,Mississippi,30902
40.229,-74.0024,New Jersey,70701
40.3779,-79.9794,Pennsylvania,10502
33.3843,-111.86,Arizona,80502
47.9073,-122.242,Washington,90802
37.6272,-77.4281,Virginia,20302
35.6577,-78.4743,North Carolina,20705
40.3354,-75.947,Pennsylvania,10906
39.3067,-82.0731,Ohio,40507
41.5738,-87.6849,Illinois,60004
42.8745,-85.7251,Michigan,40905
45.5027,-94.149,Minnesota,50603
38.9421,-122.778,California,90504
35.3228,-119.01,California,90303
37.8009,-121.19,California,90503
27.3309,-82.5198,Florida,30402
33.9,-84.2667,Georgia,0
40.6878,-111.938,Utah,80401
38.7126,-77.1983,Virginia,20200
40.8533,-73.8859,New York,10004
30.8296,-83.3023,Georgia,30106
43.7792,-91.2188,Wisconsin,50406
40.5166,-83.8719,Ohio,40303
26.5811,-81.9792,Florida,30309
32.3763,-86.1965,Alabama,30601
39.7629,-86.3996,Indiana,40601
37.927,-122.052,California,90405
39.4665,-119.826,Nevada,80905
44.1522,-75.7111,New York,10306
41.9447,-85.0227,Michigan,40900
30.4567,-91.1843,Louisiana,70008
47.5217,-122.645,Washington,90803
38.936,-95.2915,Kansas,60600
41.8977,-87.6772,Illinois,60006
41.7045,-83.6582,Ohio,40306
42.6124,-71.5584,Massachusetts,10405
31.7138,-89.0759,Mississippi,30904
25.766,-80.1317,Florida,30301
40.0815,-96.7416,Nebraska,60804
34.2306,-77.9441,North Carolina,20804
36.1278,-95.9387,Oklahoma,70401
61.5937,-149.434,Alaska,90906
42.661,-73.7747,New York,10202
35.9299,-85.8046,Tennessee,30701
32.2838,-80.8821,South Carolina,20909
38.2469,-85.8209,Kentucky,40002
44.2641,-72.577,Vermont,50600
38.032,-121.049,California,90502
40.8167,-77.8898,Pennsylvania,10608
42.341,-71.1175,Massachusetts,20404
33.5478,-101.924,Texas,70904
33.1363,-117.15,California,90200
42.114,-80.098,Pennsylvania,10605
21.304,-157.832,Hawaii,90608
40.9593,-76.8962,Pennsylvania,10708
21.3453,-158.087,Hawaii,90607
39.7215,-104.989,Colorado,80002
40.8151,-91.125,Iowa,50206
46.4131,-117.062,Washington,90904
39.9375,-82.7791,Ohio,40300
42.6932,-84.4364,Michigan,40808
34.0856,-117.444,California,90203
29.3103,-94.7763,Texas,70705
42.8868,-85.5985,Michigan,40905
41.1988,-73.9648,New York,10009
39.2779,-76.6125,Maryland,20102
35.8052,-78.7757,North Carolina,20705
32.3131,-80.9787,South Carolina,0
33.4502,-94.0934,Texas,70505
40.8059,-96.7054,Nebraska,60805
30.4168,-91.0886,Louisiana,70008
37.681,-97.3738,Kansas,60702
41.4315,-105.812,Wyoming,0
42.1278,-80.0355,Pennsylvania,10605
30.7521,-86.572,Florida,30205
42.109,-80.0909,Pennsylvania,10605
36.5409,-87.2186,Tennessee,30700
47.6116,-122.306,Washington,90801
43.6498,-116.431,Idaho,80306
43.1898,-77.6284,New York,10406
41.0545,-74.875,New Jersey,70805
64.8439,-147.721,Alaska,90906
35.2138,-89.9736,Tennessee,30801
33.881,-84.1645,Georgia,30000
32.4895,-94.0874,Texas,70506
41.2824,-72.9661,Connecticut,60501
43.1856,-88.0031,Wisconsin,50302
36.2201,-119.316,California,90302
46.7509,-92.4074,Minnesota,50507
37.5953,-77.6078,Virginia,20302
61.2184,-149.905,Alaska,90905
41.7217,-72.5965,Connecticut,60101
42.3504,-71.0893,Massachusetts,20101
45.106,-93.2419,Minnesota,50504
34.7351,-77.522,North Carolina,20805
30.455,-88.6394,Mississippi,30905
36.1806,-86.7914,Tennessee,30702
37.9182,-122.072,California,90405
43.0488,-88.0015,Wisconsin,50302
35.1563,-114.615,Nevada,80900
30.511,-90.9521,Louisiana,70007
41.685,-91.5999,Iowa,50202
20.9003,-156.487,Hawaii,90607
41.9092,-87.6717,Illinois,60006
37.5557,-97.335,Kansas,60700
32.0093,-81.2421,Georgia,30104
33.9724,-81.3714,South Carolina,20900
37.083,-120.846,California,90306
45.4915,-122.634,Oregon,90702
47.6876,-114.14,Montana,50908
47.1203,-122.461,Washington,90804
42.5272,-83.0092,Michigan,40800
35.4121,-118.958,California,90303
41.6919,-83.6063,Ohio,40306
34.2088,-77.8366,North Carolina,20804
38.0885,-84.4782,Kentucky,40005
43.6144,-116.28,Idaho,80307
41.3255,-74.1665,New York,10009
45.6751,-111.036,Montana,50907
38.3142,-86.1705,Indiana,40701
41.5977,-83.6686,Ohio,40306
29.5073,-81.2389,Florida,30201
42.82,-73.9394,New York,10203
35.9576,-86.8191,Tennessee,30700
25.7664,-80.134,Florida,30301
33.4269,-86.8871,Alabama,30500
39.0512,-94.5958,Missouri,60401
30.4419,-90.1376,Louisiana,70004
38.4407,-122.698,California,90504
41.7627,-86.7789,Indiana,40901
40.6383,-112.024,Utah,80401
44.8845,-123.068,Oregon,90703
29.6629,-82.3536,Florida,30206
29.4821,-98.4554,Texas,70802
40.738,-96.6651,Nebraska,60805
39.6788,-104.958,Colorado,80002
38.6406,-90.33,Missouri,60301
42.9035,-78.8959,New York,10402
39.6927,-75.7148,Delaware,10907
30.3928,-87.6927,Alabama,30605
36.9919,-86.423,Kentucky,40201
41.8704,-72.8043,Connecticut,60007
46.206,-119.162,Washington,90903
40.1275,-82.9775,Ohio,40300
29.6112,-82.3705,Florida,30206
44.7336,-83.832,Michigan,40807
31.0901,-97.3809,Texas,70605
36.1797,-94.529,Arkansas,70207
41.6583,-72.6632,Connecticut,60006
43.2169,-77.9564,New York,10404
40.7842,-73.7778,New York,10103
32.7582,-117.1,California,90201
40.3117,-75.9592,Pennsylvania,10906
30.2739,-97.7528,Texas,70807
30.1577,-85.647,Florida,30204
40.8613,-74.0987,New Jersey,70005
47.862,-122.253,Washington,90800
43.6174,-116.373,Idaho,80306
47.6888,-117.448,Washington,90902
36.1991,-86.5231,Tennessee,30701
31.7786,-106.354,Texas,70909
43.0882,-78.9704,New York,10403
33.8887,-117.994,California,90006
37.7354,-89.8897,Missouri,60307
45.5029,-94.1488,Minnesota,50603
30.398,-87.3082,Florida,30205
40.4324,-79.9287,Pennsylvania,10502
35.392,-120.861,California,90304
42.2948,-89.6314,Illinois,60100
43.741,-87.7247,Wisconsin,50300
40.2992,-73.9912,New Jersey,70704
37.3008,-120.484,California,90503
42.0448,-93.6379,Iowa,50000
45.647,-122.627,Washington,90806
35.5072,-84.8081,Tennessee,30703
38.0971,-121.263,California,90502
39.4938,-80.2211,West Virginia,20605
40.3696,-75.2027,Pennsylvania,10809
33.9839,-81.0418,South Carolina,20902
31.7715,-106.478,Texas,70909
39.9315,-74.9819,New Jersey,800
26.1746,-98.2161,Texas,70805
37.7695,-121.54,California,90503
39.9464,-75.169,Pennsylvania,10901
43.8376,-72.5132,Vermont,50006
40.398,-80.6617,Ohio,40309
41.096,-81.5432,Ohio,40403
36.1379,-115.117,Nevada,80901
40.8602,-111.896,Utah,80400
28.0765,-81.9871,Florida,30308
32.686,-117.047,California,90201
39.3662,-82.1341,Ohio,40507
39.0217,-121.031,California,90507
43.6173,-116.373,Idaho,80306
38.9161,-77.0387,District of Columbia,20000
44.9433,-93.214,Minnesota,50504
41.8228,-71.4288,Rhode Island,209
42.0639,-80.0851,Pennsylvania,10605
43.0679,-89.4066,Wisconsin,50307
37.3396,-79.2226,Virginia,20405
34.9568,-81.997,South Carolina,20903
29.8901,-97.7076,Texas,70806
38.953,-77.2295,Virginia,20201
44.9089,-123.989,Oregon,90703
39.3302,-82.9994,Ohio,40506
35.4492,-78.4378,North Carolina,20705
42.4066,-71.1101,Massachusetts,201
42.9036,-78.6917,New York,10400
44.6946,-73.4617,New York,10209
40.5384,-105.055,Colorado,80005
35.1245,-113.716,Arizona,0
30.4061,-91.0363,Louisiana,70008
34.0707,-84.5894,Georgia,30001
41.4902,-81.8058,Ohio,40401
34.003,-118.43,California,90000
32.4023,-88.6762,Mississippi,30903
34.4325,-119.695,California,90301
40.6801,-73.8917,New York,10102
40.1519,-105.165,Colorado,80005
41.148,-96.1789,Nebraska,60801
39.9635,-76.7269,Pennsylvania,10704
30.224,-97.7348,Texas,70807
41.8113,-71.4496,Rhode Island,40306
35.7765,-78.6847,North Carolina,20706
39.5181,-104.768,Colorado,80001
40.2734,-74.8256,New Jersey,80602
43.1262,-89.3681,Wisconsin,50307
38.1564,-85.8165,Kentucky,40002
44.9684,-93.0488,Minnesota,50501
46.2363,-119.287,Washington,90903
39.4314,-103.986,Colorado,80001
39.947,-86.2418,Indiana,40600
36.126,-115.145,Nevada,80901
27.6228,-80.5018,Florida,30209
42.352,-82.994,Michigan,40802
47.654,-122.375,Washington,90801
30.0413,-97.8427,Texas,70806
34.7593,-77.3786,North Carolina,20805
38.2373,-85.7161,Kentucky,40002
34.0564,-118.282,California,90000
39.8917,-80.1795,Pennsylvania,10503
41.9304,-73.0589,Connecticut,60009
38.9439,-94.5837,Missouri,60401
48.1059,-123.436,Washington,90803
44.8469,-122.869,Oregon,90703
21.4176,-157.765,Hawaii,90608
34.0491,-117.206,California,90203
38.0223,-121.303,California,90502
44.8576,-92.6262,Wisconsin,50400
48.7296,-122.503,Washington,90802
34.185,-118.767,California,90103
36.7528,-119.706,California,90307
34.2202,-119.047,California,90300
48.4011,-114.33,Montana,50909
37.6518,-97.3702,Kansas,60702
40.3897,-75.6271,Pennsylvania,10905
39.1721,-96.5705,Kansas,60605
44.5145,-88.0161,Wisconsin,50403
35.3156,-119.095,California,90303
43.8487,-91.2484,Wisconsin,50406
33.7661,-117.974,California,90208
34.602,-98.4572,Oklahoma,70305
42.519,-83.157,Michigan,40800
36.086,-115.303,Nevada,80901
40.8787,-96.7825,Nebraska,60805
38.9571,-92.3734,Missouri,60502
35.421,-97.5616,Oklahoma,70301
41.8936,-93.8493,Iowa,50001
40.8167,-77.8836,Pennsylvania,10608
35.4254,-119.141,California,90303
21.9259,-159.53,Hawaii,90607
31.5525,-97.1396,Texas,70607
40.1837,-105.104,Colorado,80005
39.6662,-75.7196,Delaware,10907
43.9836,-75.6155,New York,10306
46.6462,-120.584,Washington,90809
40.6443,-73.998,New York,10102
42.5338,-96.379,Iowa,50101
40.8956,-81.433,Ohio,40407
32.7939,-79.8547,South Carolina,20904
42.9532,-78.7921,New York,10402
28.1474,-82.5152,Florida,30305
25.6992,-80.3618,Florida,30301
33.9438,-83.4231,Georgia,30006
37.8419,-94.7098,Kansas,60607
42.9316,-75.8507,New York,10300
39.1144,-84.5039,Ohio,40502
32.1809,-95.8683,Texas,70507
41.1096,-112.019,Utah,80400
47.6971,-122.371,Washington,90801
34.558,-112.43,Arizona,80603
38.9709,-119.938,Nevada,80904
42.4788,-70.9067,Massachusetts,109
25.8586,-80.1257,Florida,30301
47.5285,-122.627,Washington,90803
38.8047,-104.749,Colorado,80009
30.4045,-87.2301,Florida,30205
36.1355,-79.7357,North Carolina,20704
41.3445,-72.0236,Connecticut,60304
39.1804,-86.5308,Indiana,40704
34.3021,-77.8395,North Carolina,20804
32.7896,-79.9406,South Carolina,20904
47.2623,-122.447,Washington,90804
37.9405,-122.061,California,90405
42.1884,-88.26,Illinois,60001
32.5826,-117.084,California,90201
31.8238,-81.6206,Georgia,30103
42.3995,-86.274,Michigan,40900
35.8252,-80.831,North Carolina,20806
40.1186,-76.674,Pennsylvania,10705
43.147,-77.58,New York,10406
30.5301,-87.2793,Florida,30205
44.5904,-123.272,Oregon,90703
36.681,-121.794,California,90309
33.9261,-83.3822,Georgia,30006
33.6738,-96.6145,Texas,70500
41.0093,-80.6183,Ohio,40405
30.2453,-93.3873,Louisiana,70006
40.7857,-111.929,Utah,80401
32.32,-111.077,Arizona,80506
39.2705,-84.3781,Ohio,40502
36.3533,-94.1298,Arkansas,70207
41.6241,-73.913,New York,10206
36.7339,-108.202,New Mexico,80704
36.3138,-94.3022,Arkansas,0
35.1163,-120.619,California,90304
41.4525,-81.5541,Ohio,40401
33.0752,-96.7843,Texas,70500
43.0257,-85.6915,Michigan,40905
30.2572,-81.5407,Florida,30202
41.5119,-72.0889,Connecticut,60306
38.9895,-94.6687,Kansas,60602
43.5585,-96.7261,South Dakota,50701
37.3054,-89.5229,Missouri,60307
40.9841,-81.782,Ohio,40402
39.6326,-79.9621,West Virginia,20605
42.4384,-76.5186,New York,10408
61.161,-149.869,Alaska,90905
47.7009,-117.443,Washington,90902
39.3048,-76.6123,Maryland,20102
47.6092,-122.33,Washington,90801
44.0537,-121.308,Oregon,90707
38.9581,-81.7641,West Virginia,20601
32.8756,-96.7495,Texas,70502
39.5497,-86.1642,Indiana,40601
37.7504,-97.2481,Kansas,60702
35.0788,-106.557,New Mexico,80701
28.0259,-81.9011,Florida,30308
40.4472,-86.9408,Indiana,40709
42.2043,-72.6211,Massachusetts,10004
30.3449,-91.1365,Louisiana,80007
37.2704,-79.9535,Virginia,20400
46.583,-90.8979,Wisconsin,50408
42.268,-85.5835,Michigan,40900
41.7589,-91.6279,Iowa,50203
35.9402,-84.0153,Tennessee,30709
34.7849,-77.3944,North Carolina,20805
43.6047,-83.8981,Michigan,40807
36.16,-115.136,Nevada,80901
41.9701,-87.7434,Illinois,60006
46.2605,-119.177,Washington,90903
21.4345,-158.016,Hawaii,90607
42.9555,-82.6938,Michigan,40800
45.5291,-122.698,Oregon,90702
47.7413,-116.841,Idaho,0
45.545,-122.597,Oregon,90702
41.525,-93.616,Iowa,50003
35.1355,-80.7669,North Carolina,20802
29.2832,-82.3032,Florida,30404
40.7464,-75.4704,Pennsylvania,10800
43.0599,-89.5648,Wisconsin,50307
33.5121,-82.1077,Georgia,30008
41.0553,-81.5324,Ohio,40403
37.7587,-122.433,California,90401
40.52,-105.003,Colorado,80005
43.011,-71.4629,New Hampshire,30100
41.1971,-77.32,Pennsylvania,10707
44.9339,-93.1768,Minnesota,50501
